time,open,high,low,close
1743465600,-0.73,-0.73,-0.73,-0.73
1746057600,-0.83,-0.83,-0.83,-0.83
1748736000,-0.98,-0.98,-0.98,-0.98
1751328000,-1.13,-1.13,-1.13,-1.13
1754006400,-1.2,-1.2,-1.2,-1.2
1756684800,-1.37,-1.37,-1.37,-1.37
1759276800,-1.43,-1.43,-1.43,-1.43
1761955200,-1.55,-1.55,-1.55,-1.55
1764547200,-1.65,-1.65,-1.65,-1.65
1767225600,-1.56,-1.56,-1.56,-1.56
1769904000,-1.17,-1.17,-1.17,-1.17
1772323200,-0.73,-0.73,-0.73,-0.73
1775001600,-0.47,-0.47,-0.47,-0.47
1777593600,-0.28,-0.28,-0.28,-0.28
1780272000,-0.05,-0.05,-0.05,-0.05
1782864000,0.18,0.18,0.18,0.18
1785542400,0.35,0.35,0.35,0.35
1788220800,0.62,0.62,0.62,0.62
1790812800,0.81,0.81,0.81,0.81
1793491200,0.86,0.86,0.86,0.86
1796083200,0.85,0.85,0.85,0.85
1798761600,0.71,0.71,0.71,0.71
1801440000,0.64,0.64,0.64,0.64
1803859200,0.34,0.34,0.34,0.34
1806537600,0.23,0.23,0.23,0.23
1809129600,0.21,0.21,0.21,0.21
1811808000,0.34,0.34,0.34,0.34
1814400000,0.35,0.35,0.35,0.35
1817078400,0.42,0.42,0.42,0.42
1819756800,0.57,0.57,0.57,0.57
1822348800,0.73,0.73,0.73,0.73
1825027200,0.81,0.81,0.81,0.81
1827619200,0.79,0.79,0.79,0.79
1830297600,0.69,0.69,0.69,0.69
1832976000,0.42,0.42,0.42,0.42
1835481600,0.06,0.06,0.06,0.06
1838160000,-0.18,-0.18,-0.18,-0.18
1840752000,-0.31,-0.31,-0.31,-0.31
1843430400,-0.29,-0.29,-0.29,-0.29
1846022400,-0.36,-0.36,-0.36,-0.36
1848700800,-0.42,-0.42,-0.42,-0.42
1851379200,-0.42,-0.42,-0.42,-0.42
1853971200,-0.29,-0.29,-0.29,-0.29
1856649600,-0.08,-0.08,-0.08,-0.08
1859241600,0.0,0.0,0.0,0.0
1861920000,0.03,0.03,0.03,0.03
1864598400,0.07,0.07,0.07,0.07
1867017600,0.2,0.2,0.2,0.2
